Record Number,PNVL,KNDS,MANR,KHAG,BEPR,SWDV,NEU,JNJ,SNPD,VSH,MNKD,GV,CMBR,TKNG,CLA,CHF,GTBN,VDLR,SVE,CTGN,RRD,DKRD,SNRDH,MSDH,CSMTH
135,0,3277,1909,2898,2331,2397,1400,2485,1865,1161,7436,2021,1630,1246,1240,1934,1664,2645,2033,1773,1032,1277,677,1106,1250
136,0,3275,1907,2898,2332,2397,1401,2483,1864,1159,7440,2021,1630,1246,1238,1934,1663,2646,2035,1772,1032,1278,679,1103,1251
137,,,,,,2403,1400,2486,1864,1162,7437,2022,1630,1245,1241,1934,1663,2647,2034,1771,1033,1277,677,1104,1253
138,,,,,,,,,,,7433,2020,1632,1243,1242,1933,1662,2647,2036,1772,1033,1276,678,1105,1249
139,0,3274,1908,2900,2332,2395,1402,2484,1864,1161,7440,2020,1631,1244,1240,1934,1662,2646,2036,1772,1032,1277,678,1104,1250
140,0,3274,1909,2900,2331,2396,1400,2484,1867,1162,7438,2022,1629,1246,1241,1931,1663,2647,2035,1772,1024,1278,678,1105,1252
141,0,3274,1909,2898,2331,2397,1399,2487,1864,1161,7439,2022,1630,1243,1242,1932,1663,2624,,,,,,,
142,0,3272,1908,2899,2331,2397,1400,2484,1866,1161,7438,2020,1631,1246,1240,1934,1663,2624,,,,,,,
143,0,3275,1908,2900,2332,2396,1399,2487,1862,1162,7441,2020,1631,1245,1241,1933,1663,2647,2034,1775,1030,1278,680,1102,1251
144,,,,,,2408,1405,2490,1873,1163,7464,2029,1636,1253,1244,1939,1669,2657,2043,1780,1037,1283,680,1107,1257
145,,,,,,2408,1404,2491,1874,1163,7448,2030,1636,1250,1246,1038,1671,2656,2043,1781,1035,1284,680,1109,1255
146,0,3277,1917,2909,2338,2401,1405,2494,1872,1165,7463,2030,1636,1251,1245,1937,1672,2656,2044,1781,1035,1282,681,1110,1251
147,0,3278,1920,2909,2335,2408,1404,2493,1872,1163,7468,2028,1639,1249,1245,1938,1669,2660,2043,1779,1037,1283,678,1108,1258
148,0,3280,1915,2911,2338,2404,1402,2493,1872,1164,7466,2029,1637,1250,1246,1939,1671,2655,2040,1783,1038,1279,680,1112,1255
149,0,3283,1915,2909,2338,2403,1406,2491,1874,1164,7466,2028,1634,1252,1244,1935,1667,2659,2042,1782,1035,1283,676,1109,1256
150,0,3280,1917,2909,2338,2403,1404,2491,1873,1166,7462,2029,1637,1250,1245,1940,1670,2658,2042,1780,1037,1284,678,1112,1255
151,,,,,,2411,1402,2493,1872,1164,7467,2029,1636,1251,1244,1941,1670,2658,2042,1781,1034,1270,682,1108,1255
152,,3277,1908,2899,2332,2398,1399,2486,1865,1161,7441,2019,1629,1249,1238,1932,1664,2647,2035,1770,1034,1276,677,1105,1253
153,,,,,,2405,1399,2486,1863,1159,7441,2021,1633,1241,1242,1931,1662,2647,2034,1770,1033,1276,679,1104,1248
154,,,,,,,,,,,7438,2021,1632,1244,1241,1933,1660,2645,2038,1770,1032,1277,678,1102,1249
155,,,,,,,,,,,7438,2022,1630,1246,1241,1931,1662,2647,2035,1772,1031,1277,677,1104,1248
156,0,3274,1908,2899,2330,2397,1401,2484,1864,1161,7440,2022,1631,1244,1239,1931,1663,2647,2033,1775,1031,1276,678,1102,1249
157,,,,,,2398,1399,2486,1863,1163,7440,2019,1631,1248,1237,1935,1663,2625,,,,,,,
158,0,3278,1908,2900,2331,2396,1401,2485,1863,1161,7441,2022,1630,1243,1240,1933,1662,2647,2035,1773,1032,1277,675,1105,1252
159,,,,,,,,,,,7434,2020,1631,1245,1239,1933,1663,2646,2035,1773,1031,1276,677,1104,1251
160,0,3279,1909,2900,2333,2398,1399,2488,1866,1162,7441,2023,1631,1245,1240,1932,1666,2647,2037,1773,1033,1277,679,1105,1251
161,0,3276,1910,2899,2335,2397,1401,2487,1867,1162,7441,2021,1632,1247,1237,1932,1667,2647,2035,1774,1033,1279,678,1104,1251
