Train Number,Train Code,Halts
DK 12,"95746
","KYN, DI, TNA, GC, CLA, DR"
A 58,"95342
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
BL 60,"95244
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
AN 30,"95516
","KYN, DI, DW, TNA, MLND, GC, CLA, DR, BY, CSMT"
A 60,"95344
","KYN, DI, TNA, GC, CLA, DR, BY, CSMT"
N 32,"95428
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
S 48,"95142
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
BL 64,"95246
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
S 50,"95144
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
BL 66,"95248
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
N 34,"95430
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
S 54,"95146
","KYN, DI, DW, TNA, GC, CLA, DR, BY, CSMT"
K 138,"95748
","KYN, DI, TNA, MLND, GC, CLA, DR, BY, CSMT"
